version,experiment_id,git_commit,configuration,environment,algorithm,seed,environment_steps,wall_clock_seconds,checkpoint,status,deterministic_return,stochastic_return,tracking_error_xy,yaw_error,survival_rate,forward_gain,lag_steps,entropy,action_std,kl,alpha_temp,alpha_kl,q_bias,target_clip_fraction,notes
v00,reppo_v00_s5__deterministic__E1,e55a861,config/mjlab_go2_reppo_v00_baseline.yaml,Unitree-Go2-Flat,REPPO,5,39321600,4100,logs/safe_rl/go2_v00/2026-08-03_14-38-31_reppo_v00_s5/model_299.pt,evaluated,46.5280,,0.4635,0.1596,0.8646,,,-5.9855,0.5525,0.0999,0.0029,0.0459,0.0800,0.0014,"protocol=E1; mode=deterministic; eval_seeds=[42, 43, 44]; E2_survival=0.80"
v00,reppo_v00_s5__stochastic__E1,e55a861,config/mjlab_go2_reppo_v00_baseline.yaml,Unitree-Go2-Flat,REPPO,5,39321600,4100,logs/safe_rl/go2_v00/2026-08-03_14-38-31_reppo_v00_s5/model_299.pt,evaluated,,42.8274,0.4945,0.1897,0.8750,,,-5.9855,0.5525,0.0999,0.0029,0.0459,0.0800,0.0014,"protocol=E1; mode=stochastic; eval_seeds=[42, 43, 44]"
v00,ppo_39M_s1__deterministic__E1,e55a861,config/mjlab_go2_ppo.yaml,Unitree-Go2-Flat,PPO,1,39321600,465,logs/safe_rl/go2_v00/2026-08-03_13-03-04_ppo_39M_s1/model_399.pt,evaluated,54.0691,,0.2500,0.0855,0.9583,,,4.9415,0.3673,,,,,,"protocol=E1; mode=deterministic; eval_seeds=[42, 43, 44]; E2_survival=0.80"
v00,ppo_39M_s1__stochastic__E1,e55a861,config/mjlab_go2_ppo.yaml,Unitree-Go2-Flat,PPO,1,39321600,465,logs/safe_rl/go2_v00/2026-08-03_13-03-04_ppo_39M_s1/model_399.pt,evaluated,,48.3151,0.2678,0.1318,0.9505,,,4.9415,0.3673,,,,,,"protocol=E1; mode=stochastic; eval_seeds=[42, 43, 44]"
v00,ppo_39M_s2__deterministic__E1,e55a861,config/mjlab_go2_ppo.yaml,Unitree-Go2-Flat,PPO,2,39321600,432,logs/safe_rl/go2_v00/2026-08-03_13-10-49_ppo_39M_s2/model_399.pt,evaluated,51.9148,,0.3035,0.0888,0.9688,,,5.6922,0.3913,,,,,,"protocol=E1; mode=deterministic; eval_seeds=[42, 43, 44]; E2_survival=1.00"
v00,ppo_39M_s2__stochastic__E1,e55a861,config/mjlab_go2_ppo.yaml,Unitree-Go2-Flat,PPO,2,39321600,432,logs/safe_rl/go2_v00/2026-08-03_13-10-49_ppo_39M_s2/model_399.pt,evaluated,,47.3544,0.2802,0.1367,0.9583,,,5.6922,0.3913,,,,,,"protocol=E1; mode=stochastic; eval_seeds=[42, 43, 44]"
v00,ppo_39M_s3__deterministic__E1,e55a861,config/mjlab_go2_ppo.yaml,Unitree-Go2-Flat,PPO,3,39321600,427,logs/safe_rl/go2_v00/2026-08-03_13-18-00_ppo_39M_s3/model_399.pt,evaluated,54.5152,,0.2599,0.0872,0.9661,,,5.6017,0.3880,,,,,,"protocol=E1; mode=deterministic; eval_seeds=[42, 43, 44]; E2_survival=0.80"
v00,ppo_39M_s3__stochastic__E1,e55a861,config/mjlab_go2_ppo.yaml,Unitree-Go2-Flat,PPO,3,39321600,427,logs/safe_rl/go2_v00/2026-08-03_13-18-00_ppo_39M_s3/model_399.pt,evaluated,,47.8060,0.2831,0.1407,0.9453,,,5.6017,0.3880,,,,,,"protocol=E1; mode=stochastic; eval_seeds=[42, 43, 44]"
v00,ppo_39M_s4__deterministic__E1,e55a861,config/mjlab_go2_ppo.yaml,Unitree-Go2-Flat,PPO,4,39321600,444,logs/safe_rl/go2_v00/2026-08-03_13-25-08_ppo_39M_s4/model_399.pt,evaluated,53.2994,,0.2844,0.0863,0.9844,,,4.8417,0.3642,,,,,,"protocol=E1; mode=deterministic; eval_seeds=[42, 43, 44]; E2_survival=1.00"
v00,ppo_39M_s4__stochastic__E1,e55a861,config/mjlab_go2_ppo.yaml,Unitree-Go2-Flat,PPO,4,39321600,444,logs/safe_rl/go2_v00/2026-08-03_13-25-08_ppo_39M_s4/model_399.pt,evaluated,,48.6772,0.2811,0.1327,0.9766,,,4.8417,0.3642,,,,,,"protocol=E1; mode=stochastic; eval_seeds=[42, 43, 44]"
